time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
709,7.88475e-05,1.09213e-05,1.47589e-07,3.45551e-09,3.79672e-10,1.59323e-09,6.45249e-11,2.86976e-15,8.99219e-05
710,7.97583e-05,1.86256e-05,1.48955e-07,1.55068e-08,2.54344e-09,8.25639e-09,4.72071e-10,4.3924e-13,9.85596e-05
711,0.000121658,2.58384e-05,4.15508e-07,1.79824e-08,2.36068e-09,7.1712e-09,3.27685e-10,6.62679e-14,0.00014794
712,7.83674e-05,1.74464e-05,1.92502e-08,7.12768e-10,7.85028e-11,1.02812e-09,4.39113e-11,7.02711e-15,9.58349e-05
713,0.000132835,2.9797e-05,7.09826e-08,4.53071e-09,3.85338e-10,5.60074e-09,2.64498e-10,1.21881e-13,0.000162714
714,0.000111892,3.67712e-05,1.99413e-06,1.33587e-07,1.19287e-08,6.40683e-08,1.91132e-09,1.40313e-12,0.000150869
715,8.25907e-05,2.0768e-05,3.24999e-07,1.36868e-08,1.36756e-09,7.89725e-09,4.59149e-10,3.02839e-14,0.000103707
716,0.000126494,1.69844e-05,1.63786e-07,1.59526e-08,1.71562e-09,2.59221e-08,1.03313e-09,5.57635e-13,0.000143687
717,0.00016491,6.69911e-05,8.26135e-06,1.0665e-06,1.13175e-07,1.1575e-06,4.52781e-08,8.72254e-11,0.000242545
718,7.14305e-05,8.42187e-06,2.84358e-08,1.86384e-09,2.97578e-10,1.39809e-09,7.08977e-11,8.5066e-15,7.98844e-05
719,0.000105931,2.58394e-05,2.93359e-06,3.28007e-07,2.70129e-08,2.90097e-07,8.84997e-09,1.63484e-11,0.000135358
720,0.000155365,6.0761e-05,2.04142e-06,1.36511e-07,1.1709e-08,6.52081e-08,1.88643e-09,1.55551e-12,0.000218383
721,7.90525e-05,1.59941e-05,9.64027e-08,4.79349e-09,4.21149e-10,6.42728e-10,5.02112e-12,1.32186e-15,9.51488e-05
722,9.50628e-05,1.41312e-05,2.97606e-07,1.5426e-08,7.54431e-10,1.58259e-08,2.68652e-10,1.74155e-13,0.000109524
723,0.000186285,6.99338e-05,2.62846e-05,3.86635e-06,6.28613e-07,5.47194e-06,3.39958e-07,7.56455e-10,0.000292811
724,0.000154572,4.93669e-05,1.5327e-06,1.47119e-07,1.18632e-08,1.08702e-07,3.12421e-09,2.44588e-12,0.000205742
725,7.35511e-05,1.65775e-05,2.71101e-08,1.79474e-09,2.29367e-10,1.53973e-09,7.17011e-11,2.48253e-14,9.01593e-05
726,0.000122778,3.00734e-05,7.07446e-09,4.26427e-10,3.82196e-11,2.43401e-10,7.72782e-12,5.95067e-15,0.000152859
727,0.000127149,4.29017e-05,1.37804e-06,4.7281e-08,5.31532e-09,7.72709e-08,3.46384e-09,4.34646e-13,0.000171562
728,8.31757e-05,1.98426e-05,1.2282e-07,8.13921e-09,1.10541e-09,9.00412e-09,4.03427e-10,1.82066e-13,0.00010316
729,0.000151203,2.60553e-05,2.084e-07,1.92104e-08,2.47153e-09,1.59866e-08,7.98864e-10,1.15745e-12,0.000177505
730,0.000209988,6.09485e-05,2.19414e-07,1.46777e-08,1.5413e-09,2.04497e-08,8.19267e-10,5.70703e-13,0.000271193
